Title,ReleaseDate,Overview,VoteAverage,VoteCount,OriginalLanguage,Genres,Runtime,Tagline,Budget,Revenue,ProductionCompanies,ProductionCountries,SpokenLanguages,IMDBId
Do the Right Thing,1989-06-14,"Salvatore ""Sal"" Fragione is the Italian owner of a pizzeria in Brooklyn. A neighborhood local, Buggin' Out, becomes upset when he sees that the pizzeria's Wall of Fame exhibits only Italian actors. Buggin' Out believes a pizzeria in a black neighborhood should showcase black actors, but Sal disagrees. The wall becomes a symbol of racism and hate to Buggin' Out and to other people in the neighborhood, and tensions rise.",7.8,1716,en,Drama,120,"It's the hottest day of the summer. You can do nothing, you can do something, or you can Do the Right Thing.",6500000,37300000,40 Acres and a Mule Filmworks;Universal Pictures,United States of America,English,tt0097216
Kiki's Delivery Service,1989-07-29,"A young witch, on her mandatory year of independent life, finds fitting into a new community difficult while she supports herself by running an air courier service.",7.8,3937,ja,Animation;Family;Fantasy,103,"I was feeling blue, but I'm better now.",6900000,4493017,Studio Ghibli;Nibariki;Studio Fuga;Tokuma Shoten;Nippon Television Network Corporation,Japan,日本語,tt0097814
Kagemusha,1980-04-26,"Akira Kurosawa's lauded feudal epic presents the tale of a petty thief who is recruited to impersonate Shingen, an aging warlord, in order to avoid attacks by competing clans. When Shingen dies, his generals reluctantly agree to have the impostor take over as the powerful ruler. He soon begins to appreciate life as Shingen, but his commitment to the role is tested when he must lead his troops into battle against the forces of a rival warlord.",7.813,629,ja,Action;Drama;History;War,180,The Shadow of a man can never stand up and walk on its own,6000000,4000000,TOHO;20th Century Fox;Kurosawa Production;American Zoetrope,Japan;United States of America,日本語,tt0080979
Stand by Me,1986-08-08,"After learning that a boy their age has been accidentally killed near their rural homes, four Oregon boys decide to go see the body. On the way, Gordie,  Vern, Chris and Teddy encounter a mean junk man and a marsh full of leeches, as they also learn more about one another and their very different home lives. Just a lark at first, the boys' adventure evolves into a defining event in their lives.",7.859,5732,en,Crime;Drama,89,"For some, it's the last real taste of innocence, and the first real taste of life.",8000000,52300000,Columbia Pictures;Act III Productions,United States of America,English,tt0092005
Koyaanisqatsi,1983-04-27,Takes us to locations all around the US and shows us the heavy toll that modern technology is having on humans and the earth. The visual tone poem contains neither dialogue nor a vocalized narration: its tone is set by the juxtaposition of images and the exceptional music by Philip Glass.,7.881,652,en,Documentary,86,Life out of balance,600000,3200000,IRE Productions;Santa Fe Institute for Regional Education;American Zoetrope,United States of America,No Language,tt0085809
Return of the Jedi,1983-05-25,"Luke Skywalker leads a mission to rescue his friend Han Solo from the clutches of Jabba the Hutt, while the Emperor seeks to destroy the Rebellion once and for all with a second dreaded Death Star.",7.897,15413,en,Adventure;Action;Science Fiction,132,"Return to a galaxy far, far away.",32350000,572700000,Lucasfilm Ltd.,United States of America,English,tt0086190
Pixote,1980-09-26,"10-year-old Pixote endures torture, degradation, and corruption at a local youth detention center where two of its members are murdered by policemen who frame Lilica, a 17-year-old trans hustler. Pixote helps Lilica and three other boys escape and they start to make their living by a life of crime which only escalates to more violence and death.",7.9,200,pt,Crime;Drama,128,They can't outrun the law of the weakest.,0,0,HB Filmes;Embrafilme,Brazil,Português,tt0082912
Raiders of the Lost Ark,1981-06-12,"When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.",7.929,12176,en,Adventure;Action,115,Indiana Jones — the new hero from the creators of JAWS and STAR WARS.,18000000,389925971,Paramount Pictures;Lucasfilm Ltd.,United States of America,English;Español;Deutsch;עִבְרִית;العربية;,tt0082971
Raging Bull,1980-11-14,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",7.937,4208,en,Drama,129,I don’t go down for nobody.,18000000,23380203,United Artists;Chartoff-Winkler Productions,United States of America,English,tt0081398
Blade Runner,1982-06-25,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",7.937,13496,en,Science Fiction;Drama;Thriller,118,Man has made his match...now it's his problem.,28000000,41722424,Shaw Brothers;The Ladd Company;Warner Bros. Pictures,United States of America;Hong Kong;United Kingdom,English;Deutsch;广州话 / 廣州話;日本語;Magyar,tt0083658
Nausicaä of the Valley of the Wind,1984-03-11,"After a global war, the seaside kingdom known as the Valley of the Wind remains one of the last strongholds on Earth untouched by a poisonous jungle and the powerful insects that guard it. Led by the courageous Princess Nausicaä, the people of the Valley engage in an epic struggle to restore the bond between humanity and Earth.",7.941,3471,ja,Adventure;Animation;Fantasy,117,A young girl's love called forth miracles…,1000000,3301446,Topcraft,Japan,日本語,tt0087544
Aliens,1986-07-18,"Ripley, the sole survivor of the Nostromo's deadly encounter with the monstrous Alien, returns to Earth after drifting through space in hypersleep for 57 years. Although her story is initially met with skepticism, she agrees to accompany a team of Colonial Marines back to LV-426.",7.941,9374,en,Action;Thriller;Science Fiction,137,This time it's war.,18500000,183316455,SLM Production Group;20th Century Fox;Brandywine Productions,United States of America,English,tt0090605
Akira,1988-06-10,A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath that only two teenagers and a group of psychics can stop.,7.947,4087,ja,Animation;Science Fiction;Action,124,Neo-Tokyo is about to E·X·P·L·O·D·E,5700000,49000000,MBS;Sumitomo Corporation;TOHO;Studio Fuga;Studio Aoi;Kodansha;Bandai Entertainment;Tokyo Movie Shinsha,Japan,日本語,tt0094625
Pink Floyd: The Wall,1982-07-14,A troubled rock star descends into madness in the midst of his physical and social isolation from everyone.,7.969,1457,en,Music;Drama,95,The memories. The madness. The music... The movie.,12000000,22244207,Goldcrest;Tin Blue;Metro-Goldwyn-Mayer,United Kingdom;United States of America,English,tt0084503
Castle in the Sky,1986-08-02,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.,7.98,4069,ja,Adventure;Fantasy;Animation;Action;Family;Romance,125,"One day, a girl came down from the sky…",3000000,5228752,Studio Ghibli;Nibariki;Tokuma Shoten,Japan,日本語,tt0092067
Mr. Muhsin,1987-05-01,An ingenuous countryman Ali Nazik migrates to Istanbul and meets producer Mr. Muhsin to have his first album.,7.985,66,tr,Drama,120,,0,0,Umut Film,Turkey,Türkçe,tt0184756
Teddy Bear,1981-05-04,"En route to London, Bear discovers at the border checkpoint that his passport is missing a few pages, which may prevent him from traveling to the city with the sports team he manages.",8,83,pl,Comedy,110,,0,0,"Zespół Filmowy ""Perspektywa""",Poland,Polski,tt0082755
Amadeus,1984-09-19,"Wolfgang Amadeus Mozart is a remarkably talented young Viennese composer who unwittingly finds a fierce rival in the disciplined and determined Antonio Salieri. Resenting Mozart for both his hedonistic lifestyle and his undeniable talent, the highly religious Salieri is gradually consumed by his jealousy and becomes obsessed with Mozart's downfall, leading to a devious scheme that has dire consequences for both men.",8.039,4129,en,History;Music;Drama,160,Everything you've heard is true...,18000000,90000000,The Saul Zaentz Company,United States of America,English;Deutsch;Italiano;Latin,tt0086879
The Elephant Man,1980-10-09,"A Victorian surgeon rescues a heavily disfigured man being mistreated by his ""owner"" as a side-show freak. Behind his monstrous façade, there is revealed a person of great intelligence and sensitivity. Based on the true story of Joseph Merrick (called John Merrick in the film), a severely deformed man in 19th century London.",8.04,3403,en,Drama;History,124,A true story of courage and human dignity.,5000000,26000000,Brooksfilms;Paramount Pictures,United States of America,English,tt0080678
My Neighbor Totoro,1988-04-10,"Two sisters move to the country with their father in order to be closer to their hospitalized mother, and discover the surrounding trees are inhabited by Totoros, magical spirits of the forest. When the youngest runs away from home, the older sister seeks help from the spirits to find her.",8.068,7763,ja,Fantasy;Animation;Family,86,He's your friendly neighbourhood forest spirit!,3700000,41000000,Studio Ghibli;Nibariki;Tokuma Shoten,Japan,日本語,tt0096283
Das Boot,1981-09-17,"A German submarine hunts allied ships during the Second World War, but it soon becomes the hunted. The crew tries to survive below the surface, while stretching both the boat and themselves to their limits.",8.091,2154,de,Drama;History;War,150,On land they dreamed of being heroes. Beneath the sea they pray to be survivors.,14000000,85000000,Radiant Film GmbH;Süddeutscher Rundfunk;Bavaria Film;Twin Bros. Productions;Columbia Pictures;WDR;PSO,Germany,Deutsch;English;Français,tt0082096
The Thing,1982-06-25,"In the winter of 1982, a twelve-man research team at a remote Antarctic research station discovers an alien buried in the snow for over 100,000 years. Soon unfrozen, the form-changing creature wreaks havoc, creates terror... and becomes one of them.",8.1,6758,en,Horror;Mystery;Science Fiction,109,Man is the warmest place to hide.,15000000,19629760,Universal Pictures;The Turman-Foster Company,United States of America,English;Norsk,tt0084787
Film Before Film,1987-03-26,"An exhilarating and amusing encyclopedic look at the ""prehistory"" of cinema. Werner Nekes charts the fascination with moving pictures which led to the birth of film, covering shadow plays, peep shows, flip books, flicks, magic lanterns, lithopanes, panoramic, scrolls, colorful forms of early animation, and numerous other historical artiffices.  Working with these formats, early ""producers"" created melodramas, comedies, -- as well as lots of pornography -- anticipating most of the forms known today. Nekes probes these colorful toys and inventions in a rich and rewarding optical experience. Film Before Film is a bewildering assault of exotic (and sometimes erotic) images and illusions.",8.1,7,de,Documentary,83,,0,0,Werner Nekes Filmproduktion,Germany,Deutsch,tt0207471
"Paris, Texas",1984-07-16,"A man wanders out of the desert not knowing who he is. His brother finds him, and helps to pull his memory back of the life he led before he walked out on his family and disappeared four years earlier.",8.102,1766,en,Drama,145,A place for dreams. A place for heartbreak. A place to pick up the pieces.,1750000,2181987,Road Movies;Argos Films;Wim Wenders Stiftung,France;Germany,English;Español,tt0087884
Full Metal Jacket,1987-06-26,A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,8.133,10257,en,Drama;War,117,"In Vietnam, the wind doesn't blow. It sucks.",30000000,46357676,Natant;Kubrick Productions;Warner Bros. Pictures,United Kingdom;United States of America,English;Tiếng Việt,tt0093058
Scarface,1983-12-09,"After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.",8.166,11543,en,Action;Crime;Drama,169,He loved the American Dream. With a vengeance.,25000000,66023329,Universal Pictures;Martin Bregman Productions,United States of America,English;Español,tt0086250
The Shining,1980-05-23,"Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within.",8.216,17131,en,Horror;Thriller,144,A masterpiece of modern horror.,19000000,44781695,Warner Bros. Pictures;Peregrine;Hawk Films;The Producer Circle Co.,United Kingdom;United States of America,English,tt0081505
Shoah,1985-04-21,"Director Claude Lanzmann spent 11 years on this sprawling documentary about the Holocaust, conducting his own interviews and refusing to use a single frame of archival footage. Dividing Holocaust witnesses into three categories – survivors, bystanders, and perpetrators – Lanzmann presents testimonies from survivors of the Chelmno concentration camp, an Auschwitz escapee, and witnesses of the Warsaw Ghetto Uprising, as well as a chilling report of gas chambers from an SS officer at Treblinka.",8.3,187,fr,Documentary;History,566,,0,20175,Historia;Les Films Aleph;Ministère de la culture,France,English;Français;Deutsch;עִבְרִית;Polski;,tt0090015
Dead Poets Society,1989-06-02,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",8.313,10987,en,Drama,128,He was their inspiration. He made their lives extraordinary.,16400000,235900000,A Steven Haft Production;Witt/Thomas Productions,United States of America,English;Latin,tt0097165
Back to the Future,1985-07-03,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",8.318,19551,en,Adventure;Comedy;Science Fiction,116,He was never in time for his classes. He wasn't in time for his dinner. Then one day...he wasn't in his time at all.,19000000,381109762,Universal Pictures;Amblin Entertainment,United States of America,English,tt0088763
The Empire Strikes Back,1980-05-20,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",8.391,16663,en,Adventure;Action;Science Fiction,124,The Star Wars saga continues.,18000000,538400000,Lucasfilm Ltd.,United States of America,English,tt0080684
Once Upon a Time in America,1984-05-23,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",8.416,5250,en,Drama;Crime,229,"Crime, passion and lust for power.",30000000,5500000,The Ladd Company;Embassy International Pictures;Rafran Cinematografica;PSO;Warner Bros. Pictures,United States of America;Italy,English;Français;עִבְרִית;;Italiano,tt0087843
Cinema Paradiso,1988-11-17,"A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.",8.45,4258,it,Drama;Romance,124,An enchanted village. A wonderful friendship. Star-crossed lovers. And the magic of the movies.,5000000,11990401,RAI;Tre Forum;Les Films Ariane;TF1 Films Production,France;Italy,Italiano,tt0095765
Tremors,1990-01-19,"Val McKee and Earl Bassett are in a fight for their lives when they discover that their desolate town has been infested with gigantic, man-eating creatures that live below the ground.",6.9,3156,en,Horror;Action;Science Fiction;Comedy,96,They say there's nothing new under the sun. But under the ground…,11000000,48572000,No Frills Film Production;Universal Pictures;Wilson-Maddock Production;Pacific Western,United States of America,English,tt0100814
Tie Me Up! Tie Me Down!,1990-01-22,"Recently released from a mental hospital, Ricky ties up Marina, a film star he once had sex with and keeps her hostage.",6.866,596,es,Comedy;Romance;Drama,102,A love story... With strings attached!,0,3125224,El Deseo,Spain,Español,tt0101026
The Hunt for Red October,1990-03-02,"A new technologically-superior Soviet nuclear sub, the Red October, is heading for the U.S. coast under the command of Captain Marko Ramius. The American government thinks Ramius is planning to attack. Lone CIA analyst Jack Ryan has a different idea: he thinks Ramius is planning to defect, but he has only a few hours to find him and prove it - because the entire Russian naval and air commands are trying to find Ramius, too. The hunt is on!",7.389,3175,en,Action;Adventure;Thriller,135,Invisible. Silent. Stolen.,30000000,200500000,Paramount Pictures;Mace Neufeld Productions;Nina Saxon Film Design,United States of America,English;Pусский,tt0099810
Joe Versus the Volcano,1990-03-09,"Hypochondriac Joe Banks finds out he has six months to live, quits his dead end job, musters the courage to ask his co-worker out on a date, and is then hired to jump into a volcano by a mysterious visitor.",5.713,509,en,Comedy;Romance,102,An average Joe. An adventurous comedy.,25000000,39400000,Amblin Entertainment;Warner Bros. Pictures,United States of America,English,tt0099892
Pretty Woman,1990-03-23,"When a millionaire wheeler-dealer enters a business contract with a Hollywood hooker Vivian Ward, he loses his heart in the bargain.",7.463,8028,en,Comedy;Romance,119,"She walked off the street, into his life and stole his heart.",14000000,463406268,Touchstone Pictures;Silver Screen Partners IV;Regency Enterprises;Arnon Milchan Productions,United States of America,English,tt0100405
Dances with Wolves,1990-03-30,"Wounded Civil War soldier John Dunbar tries to commit suicide—and becomes a hero instead. As a reward, he's assigned to his dream post, a remote junction on the Western frontier, and soon makes unlikely friends with the local Sioux tribe.",7.852,4119,en,Adventure;Drama;Western,181,Inside everyone is a frontier waiting to be discovered.,22000000,424208848,Tig Productions;Majestic Films International;Allied Filmmakers,United Kingdom;United States of America,English,tt0099348
Dick Tracy,1990-04-05,The comic strip detective finds his life vastly complicated when Breathless Mahoney makes advances towards him while he is trying to battle Big Boy Caprice's united mob.,6.14,910,en,Adventure;Comedy;Crime,105,Their turf. Their game. Their rules. They didn't count on HIS law...,47000000,103738726,Touchstone Pictures;Mulholland Productions;Silver Screen Partners IV,United States of America,English,tt0099422
Cry-Baby,1990-04-06,A prim and proper schoolgirl goes against her society grandmother's wishes when she dates a motorcycle-riding juvenile delinquent.,6.533,1470,en,Comedy;Romance,85,Good girls want him bad. Bad girls want him worse.,11000000,8266343,Universal Pictures;Imagine Entertainment,United States of America,English,tt0099329
Berkeley in the Sixties,1990-04-23,"A documentary about militant student political activity at the University of California, Berkeley in the 1960s.",5.6,9,en,Documentary,117,The untold story of students in the 60s,0,0,,United States of America,English,tt0099121
Cadillac Man,1990-05-18,"Joe's a car salesman with a problem—he has two days to sell 12 cars or he loses his job. This would be a difficult task at the best of times but Joe has to contend with his girlfriends (he's two-timing), a missing teenage daughter and an ex-wife.",5.695,231,en,Comedy;Drama;Crime,97,If you can't trust a car salesman who can you trust?,0,27575086,Orion Pictures,United States of America,English,tt0099204
Bird on a Wire,1990-05-18,"An FBI informant has kept his new identity secret for 15 years. Now an old flame has recognised him, and the bad guys are back for revenge.",6.208,902,en,Action;Adventure;Comedy;Romance,110,He’s every woman’s dream and one woman’s nightmare.,20000000,138697012,Universal Pictures;Interscope Communications;The Badham-Cohen Group,United States of America,English,tt0099141
Back to the Future Part III,1990-05-25,"The final installment of the Back to the Future trilogy finds Marty digging the trusty DeLorean out of a mineshaft and looking for Doc in the Wild West of 1885. But when their time machine breaks down, the travelers are stranded in a land of spurs. More problems arise when Doc falls for pretty schoolteacher Clara Clayton, and Marty tangles with Buford Tannen.",7.474,10279,en,Adventure;Comedy;Science Fiction,119,They've saved the best trip for last... But this time they may have gone too far.,40000000,244527583,Universal Pictures;Amblin Entertainment,United States of America,English,tt0099088
Gremlins 2: The New Batch,1990-06-15,"Young sweethearts Billy and Kate move to the Big Apple, land jobs in a high-tech office park and soon reunite with the friendly and lovable Gizmo. But a series of accidents creates a whole new generation of Gremlins. The situation worsens when the devilish green creatures invade a top-secret laboratory and develop genetically altered powers, making them even harder to destroy!",6.442,2492,en,Comedy;Horror;Fantasy,106,Here they grow again.,50000000,41482207,Amblin Entertainment;Warner Bros. Pictures,United States of America,English,tt0099700
Days of Thunder,1990-06-27,"Talented but unproven stock car driver Cole Trickle gets a break and with the guidance of veteran Harry Hogge turns heads on the track. The young hotshot develops a rivalry with a fellow racer that threatens his career when the two smash their cars. But with the help of his doctor, Cole just might overcome his injuries-- and his fear.",6.355,1428,en,Adventure;Action;Drama,107,You can't outrun the thunder.,60000000,157920733,Paramount Pictures;Don Simpson/Jerry Bruckheimer Films,United States of America,English,tt0099371
Die Hard 2,1990-07-03,"One year after his heroics in Los Angeles, John McClane is an off-duty cop who is the wrong guy in the wrong place at the wrong time. On a snowy Christmas Eve, as he waits for his wife's plane to land at Washington Dulles International Airport, terrorists take over the air traffic control system in a plot to free a South American army general and drug smuggler being flown into the US to face drug charges. It's now up to McClane to take on the terrorists, while coping with an inept airport police chief, an uncooperative anti-terrorist squad, and the life of his wife and everyone else trapped in planes circling overhead.",6.95,5637,en,Action;Thriller,124,Die harder.,70000000,240031094,Gordon Company;Silver Pictures;20th Century Fox,United States of America,English;Español,tt0099423
Quick Change,1990-07-13,"With the aid of his girlfriend, Phyllis Potter, and best friend, Loomis, Grimm enters a Manhattan bank dressed as a clown, creates a hostage situation and executes a flawless robbery. The only thing left for the trio to do is make their getaway out of the city and to the airport. It sounds simple enough, but it seems that fate deserts them immediately after the bank heist. One mishap after another conspires to keep these robbers from reaching freedom.",6.659,343,en,Comedy;Crime,89,The bank robbery was easy. But getting out of New York was a nightmare.,15000000,15260154,Devoted Productions;Warner Bros. Pictures,United States of America,English,tt0100449
Ghost,1990-07-13,"Even though Sam Wheat, the successful investment counsellor, still finds it difficult to express his deeper feelings for her after all these years, his young potter girlfriend, Molly Jensen, is the love of his life. However, a curious case of a systematic discrepancy will prepare the ground for a hideous urban homicide in one of Manhattan's dark alleys, trapping, seemingly forever, the unfortunate deceased's immortal soul in the realm of the mortals. With the condemned spirit unable to interact with the physical world--and as Molly's life, too, is in grave danger--Sam will have to turn to the spiritual medium, Oda Mae Brown, to warn and protect her. Can Oda and the ghost settle the unfinished business in time?",7.215,5411,en,Fantasy;Drama;Thriller;Mystery;Romance,127,"Before Sam was murdered, he told Molly he'd love and protect her forever.",22000000,505000000,Paramount Pictures;Howard W. Koch Productions,United States of America,English,tt0099653
King of New York,1990-07-18,A former drug lord returns from prison determined to wipe out all his competition and distribute the profits of his operations to New York's poor and lower classes in this stylish and ultra violent modern twist on Robin Hood.,6.707,629,en,Thriller;Crime,103,Not everyone who runs a city is elected.,0,2554712,Reteitalia;Scena International,Italy,English;Español,tt0099939
Superstar: The Life and Times of Andy Warhol,1990-07-18,"Iconic American artist and filmmaker Andy Warhol is the subject of this documentary, which looks at both his life and his influence on pop culture. The film provides details about Warhol's upbringing in Pittsburgh and follows his move to New York City, where he found massive success turning pop imagery into art and eventually founded ""The Factory,"" his famed studio and party venue. Among the many notables interviewed are Dennis Hopper, David Hockney, and Roy Lichtenstein.",7.3,3,en,Documentary,87,,0,0,,United States of America,English,tt0103008
Maniac Cop 2,1990-07-18,"After being framed by corrupt superiors and brutally assaulted in prison, Officer Matt Cordell teams up with a vicious serial killer to track down those that wronged him.",5.891,221,en,Action;Horror;Thriller,87,You Have The Right To Remain Silent... FOREVER!,4000000,0,Overseas FilmGroup;Medusa Pictures;The Movie House Sales Company;Fadd Enterprises,United States of America,English,tt0100107
The Freshman,1990-07-20,"After a film student gets his belongings stolen, he meets a mobster bearing a startling resemblance to a certain cinematic godfather. Soon, he finds himself caught up in a caper involving endangered species and fine dining.",6.252,268,en,Comedy;Crime,102,"He was on his way to the Dean's List, but he wound up on the hit list.",0,0,TriStar Pictures,United States of America,English,tt0099615
Arachnophobia,1990-07-20,"A large spider from the jungles of South America is accidentally transported in a crate with a dead body to America where it mates with a local spider. Soon after, the residents of a small California town disappear as the result of spider bites from the deadly spider offspring. It's up to a couple of doctors with the help of an insect exterminator to annihilate these eight legged freaks.",6.392,1335,en,Comedy;Horror,109,"Eight legs, two fangs, and an attitude.",31000000,53200000,Amblin Entertainment;Hollywood Pictures;Tangled Web Productions,United States of America,English;Español,tt0099052
Air America,1990-08-10,"Air America was the CIA's private airline operating in Laos during the Vietnam War, running anything and everything from soldiers to foodstuffs for local villagers. After losing his pilot's license, Billy Covington is recruited, and ends up in the middle of a bunch of lunatic pilots, gun-running by his friend Gene Ryack, and opium smuggling by his own superiors.",5.804,567,en,Action;Adventure;Comedy;Drama,112,The few. The proud. The totally insane.,35000000,57661269,IndieProd Company Productions;Carolco Pictures,United States of America,English;,tt0099005
Wild at Heart,1990-08-17,"After serving prison time for a self-defense killing, Sailor Ripley reunites with girlfriend Lula Fortune. Lula's mother, Marietta, desperate to keep them apart, hires a hitman to kill Sailor. But he finds a whole new set of troubles when he and Bobby Peru, an old buddy who's also out to get Sailor, try to rob a store. When Sailor lands in jail yet again, the young lovers appear further than ever from the shared life they covet.",7.032,1567,en,Crime;Thriller;Romance,125,A wild and crazy love story.,9500000,14569027,Samuel Goldwyn Company;Propaganda Films;PolyGram Filmed Entertainment,United States of America,English,tt0100935
My Blue Heaven,1990-08-17,"FBI agent Barney Coopersmith is assigned to protect former Mafia figure turned informant Vincent Antonelli. In the witness protection program one is supposed to keep a low profile, but that is something that Antonelli has trouble doing. Coopersmith certainly has his hands full keeping Antonelli away from the Mafia hitmen who want to stop him testifying, not to mention the nightclubs...",6.035,230,en,Action;Comedy,97,A comedy about a government witness who gives suburbia a culture shock.,0,0,Warner Bros. Pictures;Hawn / Sylbert Movie Company,United States of America,English,tt0100212
Darkman,1990-08-24,"Dr. Peyton Westlake is on the verge of realizing a major breakthrough in synthetic skin when his laboratory is destroyed by gangsters. Having been burned beyond recognition and forever altered by an experimental medical procedure, Westlake becomes known as Darkman, assuming alternate identities in his quest for revenge and a new life with a former love.",6.435,1318,en,Action;Science Fiction;Thriller,95,"They destroyed everything he had, everything he was. Now, crime has a new enemy and justice has a new face.",16000000,48900000,Universal Pictures;Renaissance Pictures,United States of America,English,tt0099365
GoodFellas,1990-09-12,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",8.463,12601,en,Drama;Crime,145,Three decades of life in the mafia.,25000000,46800000,Winkler Films,United States of America,Italiano;English,tt0099685
State of Grace,1990-09-14,"Hell's Kitchen, New York. Terry Noonan returns home after a ten-year absence. He soon reconnects with Jackie, a childhood friend and member of the Irish mob, and rekindles his love affair with Jackie's sister Kathleen.",7,324,en,Drama;Crime;Thriller,135,… where crime is a family affair.,0,0,Cinehaus,United States of America,English,tt0100685
Postcards from the Edge,1990-09-14,"Substance-addicted Hollywood actress, Suzanne Vale is on the skids. After a spell at a detox centre her film company insists as a condition of continuing to employ her that she live with her mother, herself once a star and now a champion drinker. Such a set-up is bad news for Suzanne who has struggled for years to get out of her mother's shadow, and who still treats her like a child. Despite these and other problems, Suzanne begins to see the funny side of her situation, and also realises that not only do daughters have mothers—mothers do too.",6.582,262,en,Comedy;Drama,101,"Having a wonderful time, wish I were here.",22000000,39071603,Columbia Pictures,United States of America,English,tt0100395
Miller's Crossing,1990-09-21,"Set in 1929, a political boss and his advisor have a parting of the ways when they both fall for the same woman.",7.458,1594,en,Drama;Thriller;Crime,115,"Up is down, black is white, and nothing is what it seems.",14000000,5080409,Circle Films;20th Century Fox,United States of America,English;Gaeilge;Italiano;,tt0100150
Narrow Margin,1990-09-21,"An L.A. District Attorney attempts to take an unwilling murder witness back to the United States to testify against a top-level mob boss. Frantically attempting to escape two deadly hitmen sent to silence her, they board a Vancouver-bound train only to discover that the killers are onboard with them. For the next 20 hours, as the train hurls through the beautiful but isolated Canadian wilderness, a deadly game of cat and mouse ensues in which their ability to tell friend from foe is a matter of life and death.",6.375,188,en,Action;Thriller;Crime;Mystery,97,It will take you to the edge of suspense.,17500000,10900000,Carolco Pictures,United States of America,English,tt0100224
Pacific Heights,1990-09-28,A couple works hard to renovate their dream house and become landlords to pay for it. Unfortunately one of their tenants has plans of his own.,6.214,355,en,Thriller,102,"They were the perfect couple, buying the perfect house. Until a perfect stranger moved into their lives.",18000000,55000000,Morgan Creek Entertainment;20th Century Fox,United States of America,English,tt0100318
Jacob's Ladder,1990-11-02,"After returning home from the Vietnam War, veteran Jacob Singer struggles to maintain his sanity. Plagued by hallucinations and flashbacks, Singer rapidly falls apart as the world and people around him morph and twist into disturbing images. His girlfriend, Jezzie, and ex-wife, Sarah, try to help, but to little avail. Even Singer's chiropractor friend, Louis, fails to reach him as he descends into madness.",7.357,1588,en,Drama;Mystery;Horror,113,The most frightening thing about Jacob Singer's nightmare is that he isn't dreaming.,25000000,26118851,Carolco Pictures,United States of America,English,tt0099871
Misery,1990-11-30,"After stalking and saving the life of her favorite fiction author in a car accident, his  manic obsessor holds him captive in her remote Colorado home then forces him to write back to life the popular literary character he killed off.",7.762,4536,en,Drama;Thriller,107,"Paul Sheldon used to write for a living. Now, he’s writing to stay alive.",20000000,61300000,Castle Rock Entertainment;Nelson Entertainment;Columbia Pictures,United States of America,English,tt0100157
Awakenings,1990-12-04,"Dr. Malcolm Sayer, a shy research physician, uses an experimental drug to ""awaken"" the catatonic victims of a rare disease. Leonard is the first patient to receive the controversial treatment. His awakening, filled with awe and enthusiasm, proves a rebirth for Sayer too, as the exuberant patient reveals life's simple but unutterably sweet pleasures to the introverted doctor.",7.765,2468,en,Drama,120,There is no such thing as a simple miracle.,31000000,52096475,Parkes/Lasker productions,United States of America,English,tt0099077
Edward Scissorhands,1990-12-07,A small suburban town receives a visit from a castaway unfinished science experiment named Edward.,7.717,12641,en,Fantasy;Drama;Romance,105,Innocence is what he knows. Beauty is what she sees.,20000000,53000000,20th Century Fox,United States of America,English,tt0099487
